---------------------------------------------------------------------------------------------
Output for sample-g.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2096932)
('total number of distinct words=', 36767)
('popular_threshold_word=', 1839.0)
('common_threshold_l_word=', 17464.0)
('common_threshold_u_word=', 19303.0)
('rare_threshold_word=', 34928.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 500|        spirit|      430|
| 501|        strong|      430|
| 502|      question|      424|
| 503|         shame|      423|
| 504|          sort|      423|
| 505|         works|      423|
| 506|         knows|      423|
| 507|         hence|      422|
| 508|           bid|      420|
| 509|        manner|      420|
| 510|         sound|      419|
| 511|         youth|      412|
| 512|    heathcliff|      411|
| 513|       account|      409|
| 514|           arm|      409|
| 515|         court|      409|
| 516|       warwick|      409|
| 517|       harriet|      408|
| 518|          fell|      407|
| 519|           law|      407|
| 520|        worthy|      405|
| 521|          town|      404|
| 522|          foot|      404|
| 523|      farewell|      403|
| 524|          dare|      400|
| 525|         devil|      399|
| 526|        behind|      396|
| 527|           age|      395|
| 528|         clown|      394|
| 529|       service|      393|
| 530|         spoke|      393|
| 531|       further|      393|
| 532|       comfort|      392|
| 533|           sit|      392|
| 534|         worth|      392|
| 535|           mad|      391|
| 536|        weston|      388|
| 537|         false|      387|
| 538|          able|      386|
| 539|           sea|      386|
| 540|          book|      385|
| 541|         thank|      385|
| 542|        turned|      385|
| 543|         water|      385|
| 544|        cousin|      384|
| 545|         small|      382|
| 546|          lies|      381|
| 547|     messenger|      381|
| 548|        passed|      381|
| 549|         prove|      380|
| 550|        taking|      380|
| 551|        change|      379|
| 552|           sun|      378|
| 553|         yours|      378|
| 554|          late|      378|
| 555|       married|      378|
| 556|       opinion|      377|
| 557|        charge|      376|
| 558|          pass|      376|
| 559|            re|      375|
| 560|          gods|      375|
| 561|          rich|      374|
| 562|          kept|      374|
| 563|        honest|      372|
| 564|          gold|      370|
| 565|         looks|      369|
| 566|         break|      368|
| 567|          seek|      368|
| 568|          held|      368|
| 569|       justice|      368|
| 570|         worse|      367|
| 571|          glad|      367|
| 572|    understand|      366|
| 573|          five|      366|
| 574|        pardon|      366|
| 575|         bound|      365|
| 576|         shalt|      365|
| 577|          girl|      365|
| 578|          hair|      365|
| 579|         close|      364|
| 580|           run|      363|
| 581|        unless|      363|
| 582|          iago|      362|
| 583|          seem|      361|
| 584|         table|      360|
| 585|          sake|      359|
| 586|        twenty|      359|
| 587|        wonder|      357|
| 588|        common|      355|
| 589|       duchess|      355|
| 590|         sense|      355|
| 591|        really|      354|
| 592|         terms|      354|
| 593|        become|      353|
| 594|          rome|      353|
| 595|     gentlemen|      353|
| 596|         doing|      351|
| 597|         swear|      351|
| 598|         third|      351|
| 599|     knightley|      351|
| 600|          pity|      351|
| 601|         mouth|      349|
| 602|          self|      348|
| 603|           cut|      347|
| 604|          wind|      347|
| 605|        longer|      347|
| 606|         seems|      345|
| 607|           wit|      345|
| 608|      children|      343|
| 609|          save|      343|
| 610|        linton|      343|
| 611|           low|      343|
| 612|         fight|      341|
| 613|       hundred|      340|
| 614|          land|      336|
| 615|         order|      336|
| 616|           fit|      334|
| 617|         fairy|      333|
| 618|           joy|      333|
| 619|        london|      332|
| 620|         grave|      330|
| 621|     catherine|      329|
| 622|         crown|      329|
| 623|          born|      328|
| 624|           cry|      328|
| 625|         uncle|      328|
| 626|       spirits|      327|
| 627|         ought|      327|
| 628|       evening|      326|
| 629|           war|      326|
| 630|         grief|      326|
| 631|        hither|      326|
| 632|       othello|      326|
| 633|      possible|      326|
| 634|          walk|      325|
| 635|          used|      323|
| 636|        giving|      323|
| 637|        ladies|      323|
| 638|        virtue|      322|
| 639|       knights|      322|
| 640|        curate|      321|
| 641|         plain|      321|
| 642|       antonio|      320|
| 643|         elton|      320|
| 644|         hours|      320|
| 645|        pretty|      320|
| 646|         story|      319|
| 647|        hardly|      318|
| 648|          lips|      318|
| 649|          past|      318|
| 650|          deep|      317|
| 651|      received|      317|
| 652|       thyself|      316|
| 653|           pay|      316|
| 654|       england|      315|
| 655|         proud|      315|
| 656|           sat|      315|
| 657|          lose|      315|
| 658|         along|      314|
| 659|        breath|      313|
| 660|           fly|      313|
| 661|          laid|      313|
| 662|          kiss|      312|
| 663|         serve|      311|
| 664|          goes|      311|
| 665|        beyond|      310|
| 666|         timon|      310|
| 667|         music|      310|
| 668|        chance|      308|
| 669|       soldier|      308|
| 670|       suppose|      308|
| 671|        living|      308|
| 672|         speed|      307|
| 673|       letters|      307|
| 674|      marriage|      307|
| 675|        castle|      306|
| 676|           ear|      306|
| 677|       quickly|      306|
| 678|       silence|      306|
| 679|          wise|      305|
| 680|            de|      304|
| 681|           ten|      304|
| 682|         write|      304|
| 683|          holy|      304|
| 684|          mark|      304|
| 685|           pip|      303|
| 686|           eat|      302|
| 687|        sorrow|      302|
| 688|         large|      302|
| 689|       majesty|      302|
| 690|         lives|      301|
| 691|       greater|      300|
| 692|          draw|      299|
| 693|        family|      299|
| 694|         romeo|      299|
| 695|          deal|      298|
| 696|          feet|      298|
| 697|           met|      298|
| 698|        errant|      297|
| 699|          jane|      296|
| 700|          city|      295|
| 701|         watch|      294|
| 702|          fine|      293|
| 703|             e|      292|
| 704|       promise|      292|
| 705|          form|      292|
| 706|     happiness|      292|
| 707|       hearing|      292|
| 708|        object|      292|
| 709|         visit|      290|
| 710|        dinner|      289|
| 711|      servants|      289|
| 712|       herbert|      289|
| 713|         heavy|      288|
| 714|         loves|      288|
| 715|     presently|      288|
| 716|          foul|      287|
| 717|            oh|      287|
| 718|        praise|      287|
| 719|       claudio|      286|
| 720|           sad|      286|
| 721|       macbeth|      286|
| 722|     affection|      284|
| 723|        except|      284|
| 724|          road|      284|
| 725|          kill|      284|
| 726|     continued|      283|
| 727|       villain|      283|
| 728|          year|      283|
| 729|     following|      283|
| 730|          ford|      283|
| 731|        office|      283|
| 732|         enemy|      282|
| 733|    everything|      282|
| 734|           try|      282|
| 735|         sorry|      280|
| 736|      patience|      280|
| 737|            ii|      279|
| 738|         gives|      278|
| 739|        favour|      277|
| 740|       valiant|      277|
| 741|     woodhouse|      277|
