---------------------------------------------------------------------------------------------
Output for s3a://batch-processing-bucket/large-text-file-1.txt
---------------------------------------------------------------------------------------------
('total number of words=', 20180402)
('total number of distinct words=', 61593)
('popular_threshold_word=', 3080.0)
('common_threshold_l_word=', 29256.0)
('common_threshold_u_word=', 32337.0)
('rare_threshold_word=', 58513.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 637|           idea|     3080|
| 638|        natural|     3076|
| 639|           save|     3072|
| 640|          worse|     3072|
| 641|           dare|     3060|
| 642|         worthy|     3052|
| 643|          yours|     3052|
| 644|           seek|     3040|
| 645|       interest|     3040|
| 646|          force|     3036|
| 647|          clown|     3032|
| 648|          table|     3024|
| 649|           lips|     3024|
| 650|         beyond|     3024|
| 651|           laid|     3004|
| 652|          lives|     3000|
| 653|         seeing|     2992|
| 654|           ship|     2992|
| 655|         london|     2984|
| 656|        account|     2984|
| 657|             de|     2972|
| 658|       received|     2968|
| 659|       marriage|     2960|
| 660|           laws|     2956|
| 661|         breath|     2956|
| 662|           pity|     2956|
| 663|           fine|     2932|
| 664|           fact|     2928|
| 665|           evil|     2924|
| 666|          human|     2920|
| 667|            red|     2912|
| 668|        quickly|     2912|
| 669|           mark|     2908|
| 670|            pay|     2908|
| 671|           iago|     2908|
| 672|         pardon|     2904|
| 673|           sake|     2896|
| 674|        letters|     2884|
| 675|          crown|     2880|
| 676|           goes|     2868|
| 677|           walk|     2868|
| 678|        worship|     2864|
| 679|          plain|     2852|
| 680|          shalt|     2848|
| 681|           draw|     2844|
| 682|          heavy|     2844|
| 683|        besides|     2836|
| 684|        forward|     2828|
| 685|           glad|     2828|
| 686|      character|     2828|
| 687|     electronic|     2824|
| 688|          grave|     2820|
| 689|           wise|     2808|
| 690|            joy|     2792|
| 691|         hardly|     2792|
| 692|        respect|     2788|
| 693|       strength|     2776|
| 694|        evening|     2772|
| 695|         cousin|     2772|
| 696|            try|     2768|
| 697|          royal|     2760|
| 698|       princess|     2756|
| 699|         danger|     2748|
| 700|        comfort|     2748|
| 701|         pretty|     2744|
| 702|     foundation|     2737|
| 703|            ear|     2732|
| 704|         elinor|     2716|
| 705|          swear|     2700|
| 706|            fit|     2688|
| 707|          proud|     2680|
| 708|         united|     2676|
| 709|           jane|     2676|
| 710|         object|     2664|
| 711|         appear|     2656|
| 712|            wit|     2656|
| 713|           lose|     2652|
| 714|           road|     2652|
| 715|         hither|     2648|
| 716|         chance|     2644|
| 717|            dog|     2640|
| 718|            sad|     2640|
| 719|             ii|     2640|
| 720|          uncle|     2632|
| 721|          green|     2628|
| 722|           holy|     2628|
| 723|          field|     2624|
| 724|         except|     2620|
| 725|        othello|     2620|
| 726|       followed|     2616|
| 727|          clear|     2612|
| 728|            eat|     2608|
| 729|            fly|     2604|
| 730|        silence|     2600|
| 731|        feeling|     2584|
| 732|          trust|     2580|
| 733|           died|     2576|
| 734|         ladies|     2572|
| 735|            six|     2568|
| 736|        soldier|     2564|
| 737|           ears|     2564|
| 738|           easy|     2556|
| 739|          paper|     2556|
| 740|           rose|     2548|
| 741|          grief|     2548|
| 742|        history|     2544|
| 743|            hot|     2544|
| 744|          truly|     2540|
| 745|        carried|     2540|
| 746|         window|     2540|
| 747|          drink|     2532|
| 748|          write|     2532|
| 749|           note|     2528|
| 750|             oh|     2524|
| 751|         speech|     2524|
| 752|     everything|     2516|
| 753|        majesty|     2512|
| 754|         effect|     2496|
| 755|         became|     2488|
| 756|           kiss|     2488|
| 757|         bloody|     2488|
| 758|           fast|     2476|
| 759|          timon|     2476|
| 760|          serve|     2472|
| 761|          speed|     2468|
| 762|         struck|     2464|
| 763|           paid|     2464|
| 764|         sorrow|     2460|
| 765|         during|     2444|
| 766|        citizen|     2444|
| 767|      necessary|     2440|
| 768|      authority|     2436|
| 769|         single|     2428|
| 770|         wanted|     2428|
| 771|          early|     2412|
| 772|          romeo|     2412|
| 773|         giving|     2412|
| 774|           wild|     2408|
| 775|        antonio|     2400|
| 776|          gives|     2400|
| 777|        command|     2396|
| 778|         proper|     2396|
| 779|            led|     2392|
| 780|       straight|     2392|
| 781|      beautiful|     2388|
| 782|       greatest|     2388|
| 783|           kill|     2380|
| 784|          touch|     2376|
| 785|           line|     2376|
| 786|           foul|     2372|
| 787|             ah|     2368|
| 788|          union|     2368|
| 789|        trouble|     2356|
| 790|   constitution|     2352|
| 791|         former|     2340|
| 792|          parts|     2324|
| 793|      following|     2320|
| 794|           ford|     2320|
| 795|        written|     2312|
| 796|          quiet|     2300|
| 797|        macbeth|     2292|
| 798|         dinner|     2288|
| 799|        claudio|     2288|
| 800|           lead|     2284|
| 801|        charles|     2284|
| 802|          enemy|     2276|
| 803|          nurse|     2272|
| 804|         powers|     2272|
| 805|         figure|     2268|
| 806|        spirits|     2268|
| 807|       speaking|     2264|
| 808|          learn|     2264|
| 809|      cleopatra|     2264|
| 810|      presently|     2264|
| 811|       occasion|     2256|
| 812|          loves|     2256|
| 813|        thyself|     2252|
| 814|         silver|     2252|
| 815|      happiness|     2252|
| 816|       standing|     2248|
| 817|            ran|     2248|
| 818|           real|     2248|
| 819|        private|     2248|
| 820|       whatever|     2248|
| 821|       soldiers|     2244|
| 822|          paris|     2244|
| 823|         school|     2240|
| 824|         praise|     2236|
| 825|          added|     2232|
| 826|           deal|     2228|
| 827|        passion|     2228|
| 828|           sick|     2220|
| 829|        learned|     2220|
| 830|          carry|     2216|
| 831|         simple|     2212|
| 832|        stephen|     2212|
| 833|        promise|     2212|
| 834|          loved|     2204|
| 835|        duchess|     2204|
| 836|          fault|     2196|
| 837|           mere|     2192|
| 838|          begin|     2192|
| 839|        villain|     2192|
| 840|         hearts|     2192|
| 841|           ring|     2184|
| 842|         palace|     2176|
| 843|          lived|     2168|
| 844|           wall|     2168|
| 845|           alas|     2164|
| 846|            iii|     2164|
| 847|         likely|     2160|
| 848|           pale|     2160|
| 849|       patience|     2160|
| 850|         favour|     2156|
| 851|       citizens|     2156|
| 852|         degree|     2148|
| 853|         secret|     2148|
| 854|         bright|     2148|
| 855|           wear|     2148|
| 856|           wine|     2148|
| 857|          heads|     2140|
| 858|           wait|     2136|
| 859|        shallow|     2128|
| 860|         regard|     2128|
| 861|           ways|     2124|
| 862|       thinking|     2116|
| 863|           soft|     2116|
| 864|           boys|     2112|
| 865|       rosalind|     2112|
| 866|          visit|     2112|
| 867|      continued|     2108|
| 868|      influence|     2104|
| 869|           grow|     2104|
| 870|        receive|     2100|
| 871|          meant|     2096|
| 872|        content|     2096|
| 873|        instant|     2096|
| 874|     afterwards|     2092|
| 875|           hate|     2088|
| 876|          mercy|     2084|
| 877|          wrote|     2080|
| 878|           stop|     2072|
| 879|             ho|     2072|
| 880|       presence|     2072|
| 881|       appeared|     2068|
| 882|     impossible|     2064|
| 883|           grey|     2064|
| 884|       happened|     2064|
| 885|         action|     2060|
| 886|          fancy|     2056|
| 887|           sons|     2056|
| 888|           pain|     2056|
| 889|     buckingham|     2056|
| 890|          senor|     2052|
| 891|          drawn|     2052|
| 892|          fresh|     2052|
| 893|           maid|     2048|
| 894|        liberty|     2048|
| 895|         thanks|     2044|
| 896|        picture|     2040|
| 897|      agreement|     2036|
| 898|         future|     2036|
| 899|       consider|     2032|
| 900|      attention|     2024|
| 901|          takes|     2024|
| 902|       margaret|     2024|
| 903|      beginning|     2024|
| 904|        hearing|     2020|
| 905|           hell|     2016|
| 906|          books|     2012|
| 907|        instead|     2012|
| 908|           loss|     2004|
| 909|          smile|     2000|
| 910|         stands|     2000|
| 911|      ourselves|     2000|
| 912|          merry|     1992|
| 913|          seven|     1984|
| 914|       although|     1984|
| 915|          quick|     1984|
| 916|        suffolk|     1980|
| 917|  circumstances|     1980|
| 918|            sin|     1976|
| 919|           drew|     1976|
| 920|          chief|     1976|
| 921|         health|     1976|
| 922|       marianne|     1968|
| 923|         castle|     1968|
| 924|          judge|     1964|
| 925|      according|     1964|
| 926|        measure|     1964|
| 927|         broken|     1964|
| 928|       servants|     1960|
| 929|          below|     1960|
| 930|       national|     1956|
| 931|        sitting|     1956|
| 932|         lucius|     1952|
| 933|         battle|     1948|
| 934|           seat|     1948|
| 935|          march|     1948|
| 936|          tried|     1948|
| 937|        troilus|     1948|
| 938|          haste|     1948|
| 939|           moon|     1944|
| 940|         cassio|     1944|
| 941|         tender|     1940|
| 942|         forget|     1940|
| 943|       judgment|     1936|
| 944|       language|     1936|
| 945|         remain|     1936|
| 946|      affection|     1932|
| 947|        meaning|     1932|
| 948|           boat|     1928|
| 949|         strike|     1920|
| 950|       suddenly|     1920|
| 951|      excellent|     1916|
